Id,Model,Price,Age_08_04,Color,,,,,,,,,,,,,
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,Green,,,,,,,,,,,,,
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,Blue,,,,,,,,,,,,,
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,Blue,,,,,,,,,,,,,
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,Red,,,,,,,,,,,,,
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,Silver,,,,,,,,,,,,,
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,Green,,,,,,,,,,,,,
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,Black,,,,,,,,,,,,,
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,Green,,,,,,,,,,,,,
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,Blue,,,,,,,,,,,,,
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,Blue,,,,,,,,,,,,,
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,Red,,,,,,,,,,,,,
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,Blue,,,,,,,,,,,,,
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,Red,,,,,,,,,,,,,
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,13950,35,Silver,,,,,,,,,,,,,
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,Grey,,,,,,,,,,,,,
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,Green,,,,,,,,,,,,,
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,Grey,,,,,,,,,,,,,
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,Black,,,,,,,,,,,,,
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,Grey,,,,,,,,,,,,,
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,Green,,,,,,,,,,,,,
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,Green,,,,,,,,,,,,,
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,Black,,,,,,,,,,,,,
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,Blue,,,,,,,,,,,,,
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,Blue,,,,,,,,,,,,,
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,Red,,,,,,,,,,,,,
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,Red,,,,,,,,,,,,,
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,Green,,,,,,,,,,,,,
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,Blue,,,,,,,,,,,,,
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,Grey,,,,,,,,,,,,,
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,Grey,,,,,,,,,,,,,
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,Green,,,,,,,,,,,,,
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,Black,,,,,,,,,,,,,
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,Silver,,,,,,,,,,,,,
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,Yellow,,,,,,,,,,,,,
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,Black,,,,,,,,,,,,,
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,Green,,,,,,,,,,,,,
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,Green,,,,,,,,,,,,,
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,Blue,,,,,,,,,,,,,
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,Green,,,,,,,,,,,,,
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,Blue,,,,,,,,,,,,,
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,Black,,,,,,,,,,,,,
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,Blue,,,,,,,,,,,,,
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,Red,,,,,,,,,,,,,
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,Black,,,,,,,,,,,,,
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,Blue,,,,,,,,,,,,,
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,Red,,,,,,,,,,,,,
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,Grey,,,,,,,,,,,,,
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,Black,,,,,,,,,,,,,
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,35,Grey,,,,,,,,,,,,,
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,Blue,,,,,,,,,,,,,
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,Red,,,,,,,,,,,,,
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,Grey,,,,,,,,,,,,,
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,Red,,,,,,,,,,,,,
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,Red,,,,,,,,,,,,,
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,Red,,,,,,,,,,,,,
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,Black,,,,,,,,,,,,,
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,Green,,,,,,,,,,,,,
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,Green,,,,,,,,,,,,,
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,Blue,,,,,,,,,,,,,
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,Grey,,,,,,,,,,,,,
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,Red,,,,,,,,,,,,,
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,Grey,,,,,,,,,,,,,
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,Green,,,,,,,,,,,,,
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,Red,,,,,,,,,,,,,
290,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,Grey,,,,,,,,,,,,,
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,Blue,,,,,,,,,,,,,
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,Green,,,,,,,,,,,,,
293,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,Red,,,,,,,,,,,,,
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,White,,,,,,,,,,,,,
295,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,Red,,,,,,,,,,,,,
296,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,Silver,,,,,,,,,,,,,
297,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,Red,,,,,,,,,,,,,
298,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,44,Green,,,,,,,,,,,,,
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,Blue,,,,,,,,,,,,,
300,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,Grey,,,,,,,,,,,,,
301,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,Grey,,,,,,,,,,,,,
302,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,Blue,,,,,,,,,,,,,
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,Green,,,,,,,,,,,,,
304,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,Blue,,,,,,,,,,,,,
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,Grey,,,,,,,,,,,,,
306,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,Grey,,,,,,,,,,,,,
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,Grey,,,,,,,,,,,,,
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,Blue,,,,,,,,,,,,,
309,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,Green,,,,,,,,,,,,,
310,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,Red,,,,,,,,,,,,,
311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,Green,,,,,,,,,,,,,
312,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,Green,,,,,,,,,,,,,
313,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,Grey,,,,,,,,,,,,,
314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,Grey,,,,,,,,,,,,,
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,Red,,,,,,,,,,,,,
316,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,Grey,,,,,,,,,,,,,
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,Green,,,,,,,,,,,,,
318,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,Black,,,,,,,,,,,,,
319,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,Blue,,,,,,,,,,,,,
320,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,Green,,,,,,,,,,,,,
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,Green,,,,,,,,,,,,,
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,Red,,,,,,,,,,,,,
323,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,Blue,,,,,,,,,,,,,
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,Silver,,,,,,,,,,,,,
325,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,Black,,,,,,,,,,,,,
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,Grey,,,,,,,,,,,,,
327,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,Red,,,,,,,,,,,,,
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,Grey,,,,,,,,,,,,,
329,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,Red,,,,,,,,,,,,,
330,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,Grey,,,,,,,,,,,,,
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,Red,,,,,,,,,,,,,
332,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,Silver,,,,,,,,,,,,,
333, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,Yellow,,,,,,,,,,,,,
334,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,Blue,,,,,,,,,,,,,
335,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,Black,,,,,,,,,,,,,
336,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,Silver,,,,,,,,,,,,,
337,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,Black,,,,,,,,,,,,,
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,Silver,,,,,,,,,,,,,
340,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,Green,,,,,,,,,,,,,
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,Silver,,,,,,,,,,,,,
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,Red,,,,,,,,,,,,,
343,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,Grey,,,,,,,,,,,,,
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,Silver,,,,,,,,,,,,,
345,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,Red,,,,,,,,,,,,,
346, TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,Grey,,,,,,,,,,,,,
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,Grey,,,,,,,,,,,,,
348, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,Red,,,,,,,,,,,,,
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,Blue,,,,,,,,,,,,,
350,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,Red,,,,,,,,,,,,,
351,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,Grey,,,,,,,,,,,,,
352, TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,Blue,,,,,,,,,,,,,
353,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,Yellow,,,,,,,,,,,,,
354, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,Green,,,,,,,,,,,,,
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,Grey,,,,,,,,,,,,,
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,Grey,,,,,,,,,,,,,
357,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,Blue,,,,,,,,,,,,,
358, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,Green,,,,,,,,,,,,,
359,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,Green,,,,,,,,,,,,,
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,Black,,,,,,,,,,,,,
361, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,Green,,,,,,,,,,,,,
362, TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,Red,,,,,,,,,,,,,
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,Blue,,,,,,,,,,,,,
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,Grey,,,,,,,,,,,,,
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,Grey,,,,,,,,,,,,,
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,Green,,,,,,,,,,,,,
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,Silver,,,,,,,,,,,,,
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,Green,,,,,,,,,,,,,
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,Blue,,,,,,,,,,,,,
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,Green,,,,,,,,,,,,,
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,Red,,,,,,,,,,,,,
372, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,Green,,,,,,,,,,,,,
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,Red,,,,,,,,,,,,,
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,Green,,,,,,,,,,,,,
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,Grey,,,,,,,,,,,,,
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,Grey,,,,,,,,,,,,,
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,Silver,,,,,,,,,,,,,
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,Grey,,,,,,,,,,,,,
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,Green,,,,,,,,,,,,,
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,Blue,,,,,,,,,,,,,
381, TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,White,,,,,,,,,,,,,
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,Red,,,,,,,,,,,,,
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,Blue,,,,,,,,,,,,,
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,Blue,,,,,,,,,,,,,
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,8900,45,Silver,,,,,,,,,,,,,
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,Blue,,,,,,,,,,,,,
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,Red,,,,,,,,,,,,,
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,Silver,,,,,,,,,,,,,
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,Grey,,,,,,,,,,,,,
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,Red,,,,,,,,,,,,,
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,Grey,,,,,,,,,,,,,
392, TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,Silver,,,,,,,,,,,,,
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,Blue,,,,,,,,,,,,,
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,Grey,,,,,,,,,,,,,
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,Black,,,,,,,,,,,,,
396,TOYOTA Corolla 1.8D Stationwagen,4450,56,White,,,,,,,,,,,,,
397, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,Black,,,,,,,,,,,,,
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,Blue,,,,,,,,,,,,,
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,Blue,,,,,,,,,,,,,
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,Blue,,,,,,,,,,,,,
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,Green,,,,,,,,,,,,,
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,Blue,,,,,,,,,,,,,
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,Grey,,,,,,,,,,,,,
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,Blue,,,,,,,,,,,,,
405,TOYOTA Corolla 2.0D 4/5-Doors,5150,56,Green,,,,,,,,,,,,,
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,Blue,,,,,,,,,,,,,
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,Black,,,,,,,,,,,,,
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,Green,,,,,,,,,,,,,
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,White,,,,,,,,,,,,,
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,Red,,,,,,,,,,,,,
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,Green,,,,,,,,,,,,,
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,Red,,,,,,,,,,,,,
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,Red,,,,,,,,,,,,,
414, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,Black,,,,,,,,,,,,,
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,Grey,,,,,,,,,,,,,
416, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,Grey,,,,,,,,,,,,,
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,Silver,,,,,,,,,,,,,
418, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,Blue,,,,,,,,,,,,,
419, TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,Black,,,,,,,,,,,,,
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,Green,,,,,,,,,,,,,
421, TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,Red,,,,,,,,,,,,,
422, TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,Blue,,,,,,,,,,,,,
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,Blue,,,,,,,,,,,,,
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,White,,,,,,,,,,,,,
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,Red,,,,,,,,,,,,,
426, TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,Black,,,,,,,,,,,,,
427, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,Grey,,,,,,,,,,,,,
428, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,Grey,,,,,,,,,,,,,
429, TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,Grey,,,,,,,,,,,,,
430,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,Red,,,,,,,,,,,,,
431,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,Green,,,,,,,,,,,,,
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,Silver,,,,,,,,,,,,,
433, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,Green,,,,,,,,,,,,,
434,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,Black,,,,,,,,,,,,,
435, TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,Green,,,,,,,,,,,,,
436,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,Silver,,,,,,,,,,,,,
437,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,Silver,,,,,,,,,,,,,
438,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,Red,,,,,,,,,,,,,
439, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,47,Black,,,,,,,,,,,,,
440, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,Blue,,,,,,,,,,,,,
441,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,Red,,,,,,,,,,,,,
442,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,Red,,,,,,,,,,,,,
443, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,Blue,,,,,,,,,,,,,
444,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,Blue,,,,,,,,,,,,,
445, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,Red,,,,,,,,,,,,,
446,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,Grey,,,,,,,,,,,,,
447,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,Silver,,,,,,,,,,,,,
448, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,Red,,,,,,,,,,,,,
449, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,Grey,,,,,,,,,,,,,
450, TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,10995,49,Silver,,,,,,,,,,,,,
451,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,Grey,,,,,,,,,,,,,
452, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,Grey,,,,,,,,,,,,,
453,TOYOTA Corolla 1.6 4/5-Doors,10500,50,Blue,,,,,,,,,,,,,
454,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,Grey,,,,,,,,,,,,,
455, TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,Silver,,,,,,,,,,,,,
